"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"64","RT @SenBobCasey: Graham-Cassidy would decimate Medicaid, worsen the opioid crisis, and raise premiums in every county in Pennsylvania. It mâ€¦",FALSE,0,NA,2017-09-22 01:06:14,FALSE,NA,"911033866273607681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ckellytweet",356,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/588152281515823106/AP46nLdp_normal.jpg"
"65","Malloy insists on hiking taxes and fees on the Nutmeg Stateâ€™s beleaguered taxpayers to the tune of $1.5 billion.... https://t.co/KhT3X8vx6s",FALSE,0,NA,2017-09-22 01:06:13,FALSE,NA,"911033860372213760",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","cthrcc",0,FALSE,FALSE,NA,NA,"Connecticut","en","http://pbs.twimg.com/profile_images/1559440493/hrcclogofinal_normal.jpg"
"66","RT @CBSNews: New study blames contaminated water in Flint, Michigan, for severe health problems, including lower fertility rates https://t.â€¦",FALSE,0,NA,2017-09-22 01:06:12,FALSE,NA,"911033855611686912",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","hisfanatic",155,TRUE,FALSE,NA,NA,"Ship-shaming incest and abuse.","en","http://pbs.twimg.com/profile_images/3749420810/fa2e0c5dc2e007b0a283f654bd090be3_normal.png"
"67","RT @twelveoclocke: anyone who watches Chopped knows our healthcare system is in a crisis, every 3rd chef is like ""i'm here to win money forâ€¦",FALSE,0,NA,2017-09-22 01:06:10,FALSE,NA,"911033849152450565",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","catbenipay0",7499,TRUE,FALSE,NA,NA,":::::)","en","http://pbs.twimg.com/profile_images/897145063570059264/5zTncTEx_normal.jpg"
"68","RT @twelveoclocke: anyone who watches Chopped knows our healthcare system is in a crisis, every 3rd chef is like ""i'm here to win money forâ€¦",FALSE,0,NA,2017-09-22 01:06:09,FALSE,NA,"911033844752515072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Magilite",7499,TRUE,FALSE,NA,NA,"Heartbreaker","en","http://pbs.twimg.com/profile_images/910710866676293632/TbRu6jOS_normal.jpg"
"69","RT @mikandynothem: âœ”RETWEETâœ” if you are PROUD of President Trump! He has conducted himself with class and poise throughout Texas crisis. Exâ€¦",FALSE,0,NA,2017-09-22 01:06:09,FALSE,NA,"911033843980947457",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BrettHa30585465",2158,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/816881060323688449/6gmd24JZ_normal.jpg"
"70","RT digvijaya_28: RT Shehzad_Ind: Serial offender &amp; defender of rapist Baba offers unique solution to rape crisis! â€¦ https://t.co/vD33XYMo1q",FALSE,0,NA,2017-09-22 01:06:08,FALSE,NA,"911033841367863296",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","_TeamDVS",0,FALSE,FALSE,NA,NA,"Raghogarh-Vijaypur, India","en","http://pbs.twimg.com/profile_images/864278173160267780/aQtFFP_W_normal.jpg"
"71","RT @Maryamhasnaa: When you fall so deeply asleep in earthly affairs that you forget your souls purpose your higher self will often orchestrâ€¦",FALSE,0,NA,2017-09-22 01:06:07,FALSE,NA,"911033837362216960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","T_FllwdBy_K",25,TRUE,FALSE,NA,NA,"Chi","en","http://pbs.twimg.com/profile_images/884610208210792450/huilQ-h6_normal.jpg"
"72","RT @RealJamesWoods: Wiretaps may prove Trump right â€” and thatâ€™s absolutely terrifying //  A constitutional crisis transcending politics  htâ€¦",FALSE,0,NA,2017-09-22 01:06:06,FALSE,NA,"911033832647819265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MilliWashock",6217,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/846744493906952192/5tYN9P91_normal.jpg"
"73","RT @mattdpearce: After Flint's water was poisoned in 2014, fertility decreased 12% among women and fetal death rates increased 58%. https:/â€¦",FALSE,0,NA,2017-09-22 01:06:06,FALSE,NA,"911033831783899136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","b3achmm",1800,TRUE,FALSE,NA,NA,"clayco","en","http://pbs.twimg.com/profile_images/900997582842982400/2mxzeOp8_normal.jpg"
